BuilderSubdivisionID,Subdivision,Builder,Status,ProductStyle,City,County,State,Latitude,Longitude,SubmarketID,SubmarketName,UnitsPlanned,UnitsRemaining,AnnualStarts,AnnualClosings
4E8D802A-CA05-4804-9010-7BB168074425,Battles Trace at The Colony,Stuart Construction,Active,Single-Family Detached,Fairhope,Baldwin,AL,30.493988,-87.907154,SM-06,West Baldwin,285,117,9.0,12.0
7F312BBA-5F37-43D1-A9CD-A60AB9796A47,Eden Lake ,DSLD Homes,Active,Single-Family Detached,Crestview,Okaloosa,FL,30.759405,-86.557016,SM-17,Crestview,181,181,0.0,0.0
15EADEAB-1F93-407A-821F-57FE985475ED,Pipers Landing,Lennar Homes,Active,Single-Family Detached,Pensacola,Escambia,FL,30.509231,-87.313935,SM-11,Cantonment,64,64,1.0,0.0
FF42ECFF-FFA8-446C-A137-583B871E4139,Meadows at Magnolia Plantation,Randy Wise Homes,Active,Single-Family Detached,Niceville,Okaloosa,FL,30.489877,-86.433916,SM-18,Fort Walton,15,15,1.0,0.0
81B8C9B2-B9A3-4355-B404-BBA641374B17,Patch Place,Tower Homes,Active,Single-Family Detached,Daphne,Baldwin,AL,30.625504,-87.864521,SM-06,West Baldwin,64,58,12.0,6.0
BCE2529B-C793-4FD7-A323-BCB7C40F8A29,Falling Leaf,D.R. Horton Inc,Built Out,Single-Family Detached,Mobile,Mobile,AL,30.622514,-88.206891,SM-02,Central Mobile,36,0,0.0,1.0
CD0CE7BF-B1A9-4CD6-BC6D-98E4E0A2EE33,"Porches, The",D.R. Horton Inc,Built Out,Single-Family Detached,Elberta,Baldwin,AL,30.403787,-87.611474,SM-04,South Baldwin,122,0,0.0,1.0
81761D78-036C-436A-A687-B9DBB6351098,Pheasant Run,D.R. Horton Inc,Built Out,Single-Family Detached,Elberta,Baldwin,AL,30.406996,-87.613328,SM-04,South Baldwin,80,0,4.0,16.0
A4CDDB68-3AEF-46EA-AA1B-3A0C40E0B9FE,Greenbrier,Lennar Homes,Active,Single-Family Detached,Foley,Baldwin,AL,30.363096,-87.694349,SM-04,South Baldwin,102,14,41.0,46.0
21498E86-4277-4FCA-8FD4-D92F801E3E6E,Jubilee/Mahogany,Holiday Builders ,Active,Single-Family Detached,Milton,Santa Rosa,FL,30.690302,-87.174682,SM-08,Pace,260,260,3.0,0.0
A572F69F-2764-4CA0-A4E3-2866D5D283CB,Gaylen Oaks,D.R. Horton Inc,Active,Single-Family Detached,Pensacola,Escambia,FL,30.539835,-87.266668,SM-11,Cantonment,20,14,20.0,6.0
3509AACA-6245-4057-A4D5-C701B66D278E,Green Fields,Lennar Homes,Active,Single-Family Detached,Fairhope,Baldwin,AL,30.480293,-87.868692,SM-06,West Baldwin,80,80,0.0,0.0
1B02545F-1ACF-42B9-AB8B-950B158FA1FB,Vickers Estates,Adams Homes,Active,Single-Family Detached,Semmes,Mobile,AL,30.796754,-88.267658,SM-02,Central Mobile,40,23,9.0,13.0
8347A5AC-FEE5-4559-B10D-2A04F285A1E0,East Bay Plantation,,Active,Single-Family Detached,Panama City,Bay,FL,30.097628,-85.507065,SM-22,Walton and Bay Beaches,358,358,0.0,0.0
C37DEAEF-10CB-4AE3-AC20-F46662C345A1,Wildwood Estates/Reserve at Brookhaven,D.R. Horton Inc,Active,Single-Family Detached,Cantonment,Escambia,FL,30.55262,-87.348454,SM-11,Cantonment,339,233,72.0,101.0
813854DE-1ED1-4529-8EB7-91AAF8E56E7A,Sherwood Grove,D.R. Horton Inc,Active,Single-Family Detached,Fairhope,Baldwin,AL,30.436434,-87.836514,SM-06,West Baldwin,166,166,0.0,0.0
DC741C45-371D-432E-BE9D-1184DAEE7AC4,Amberley,Adams Homes,Active,Single-Family Detached,Robertsdale,Baldwin,AL,30.537148,-87.691248,SM-12,Central Baldwin,271,271,4.0,0.0
19388E19-7EB4-4FC4-9621-6F1144C94BED,Pecan Valley,Adams Homes,Active,Single-Family Detached,Cantonment,Escambia,FL,30.639568,-87.320627,SM-11,Cantonment,103,51,24.0,31.0
225BB100-2403-4F8A-9765-06370D2C3A21,Edens Landing/Oak Grove,2 Bros Development,Active,Single-Family Detached,Santa Rosa Beach,Walton,FL,30.368341,-86.121085,SM-22,Walton and Bay Beaches,32,28,2.0,3.0
348C5ECF-6948-472A-B15C-0D5B71E0CEC1,Windy Hill South,D.R. Horton Inc,Built Out,Single-Family Detached,Pensacola,Escambia,FL,30.548544,-87.402001,SM-11,Cantonment,10,0,0.0,10.0
366FC0D7-351E-4E89-AE4E-6C6A3EDD4CBB,OFallon,Adams Homes | D.R. Horton Inc,Built Out,Single-Family Detached,Mobile,Mobile,AL,30.631023,-88.262391,SM-02,Central Mobile,49,0,0.0,8.0
7DA83316-3A92-48AB-80A6-E9186CB551CB,Eastgate Bend,DSLD Homes,Active,Single-Family Detached,Foley,Baldwin,AL,30.413999,-87.653814,SM-04,South Baldwin,102,94,22.0,8.0
B0A6AB9B-1F66-4368-A2A0-5E0FAC0A24F4,Stonebridge/Biltmore ,D.R. Horton Inc,Active,Single-Family Detached,Daphne,Baldwin,AL,30.674597,-87.795047,SM-12,Central Baldwin,252,163,14.0,9.0
95E69744-F29C-453B-9E3E-FAA8CE178AE2,Diamante,D.R. Horton Inc,Active,Single-Family Detached,Daphne,Baldwin,AL,30.630235,-87.867807,SM-06,West Baldwin,150,3,0.0,0.0
AD38CE76-3B69-4822-851B-3A0E38D92B44,Eagles Landing of Niceville,Huff Homes,Active,Single-Family Detached,Niceville,Okaloosa,FL,30.519377,-86.470375,SM-18,Fort Walton,35,4,6.0,13.0
CF743763-835B-400F-9B32-B0B4DA8ED211,White Oak Estates,Lennar Homes,Active,Single-Family Detached,Laurel Hill,Okaloosa,FL,30.961009,-86.468343,SM-16,Laurel Hill,109,98,0.0,11.0
1DAD59F1-A3C7-4293-B156-895A61D1883B,Silver Springs,DSLD Homes,Active,Single-Family Detached,Silverhill,Baldwin,AL,30.551445,-87.767904,SM-12,Central Baldwin,199,199,14.0,0.0
3347191C-B262-489E-85C8-B7ABF5B832F3,Las Colinas,Holiday Builders ,Active,Single-Family Detached,Milton,Santa Rosa,FL,30.632796,-87.063412,SM-10,Milton,12,9,7.0,3.0
56175094-251B-4440-812B-6DC27EAE40CB,Game Farm,Ben Wortman Construction | Phillips Homes | Southern Coastal Homes,Active,Single-Family Detached,Panama City,Bay,FL,30.199565,-85.599746,SM-28,Panama City,125,101,5.0,15.0
9FCDAA9A-3B27-4338-9902-6C4E0C48F5EC,Pond Creek Landing,,Active,Single-Family Detached,Milton,Santa Rosa,FL,30.682676,-87.134432,SM-08,Pace,22,22,0.0,0.0
888350DC-871F-49CF-8FB0-C08ADD05340A,Lantern Ridge,Linc Grant Construction,Active,Single-Family Detached,Crestview,Okaloosa,FL,30.764625,-86.548112,SM-17,Crestview,23,23,0.0,0.0
A4BF23AA-35F1-4EB6-97BE-A413A714A5C6,Oak Shores,Spring River Custom Homes,Active,Single-Family Detached,Orange Beach,Baldwin,AL,30.298888,-87.537712,SM-04,South Baldwin,75,75,0.0,0.0
38460229-F9B9-4773-B462-E364B4649D04,Hawthorn,Lennar Homes,Active,Single-Family Detached,Foley,Baldwin,AL,30.352337,-87.75586,SM-04,South Baldwin,12,1,12.0,11.0
2E03E14E-1225-48CB-B7AA-60AF6B2A0AF9,Mer Sea on Navarre Beach,,Active,Single-Family Detached,Navarre,Santa Rosa,FL,30.374567,-86.913382,SM-09,Pensacola Beaches,47,47,0.0,0.0
A8095E47-6CE7-4D34-9188-9078779A4928,Eventide Estates,Sunchase Construction,Active,Single-Family Detached,Milton,Santa Rosa,FL,30.511966,-87.09252,SM-08,Pace,21,5,0.0,1.0
44B891D1-A667-432E-BB01-207D9A2E6F44,Buckhaven,Adams Homes,Active,Single-Family Detached,Baker,Okaloosa,FL,30.774778,-86.640145,SM-15,Okaloosa County,132,132,0.0,0.0
FA6173F4-E2DD-4136-8DE2-CCAE44EFF079,Heritage Lake,D.R. Horton Inc,Active,Single-Family Detached,Mobile,Mobile,AL,30.672828,-88.290467,SM-02,Central Mobile,371,244,35.0,49.0
